
PLIK test_lda6D.txt
Conf_matrix_of 	 !>!	!>other	!>tumour	other>!	other>other	other>tumour	tumour>!	tumour>other	tumour>tumour	
t_21_baseline.csv	0	0	0	0	914	86	0	92	908	
t_21_post_15min.csv	0	0	0	0	970	30	0	36	964	
t_22_baseline.csv	0	0	0	0	955	45	0	63	937	
t_22_post_15min.csv	0	0	0	0	957	43	0	25	975	
t_23_baseline.csv	0	0	0	0	907	93	0	80	920	
t_23_post_15min.csv	0	0	0	0	932	68	0	43	957	
t_24_baseline.csv	0	0	0	0	922	78	0	57	943	
t_24_post_15min.csv	0	0	0	0	971	29	0	32	968	
t_25_baseline.csv	0	0	0	0	899	101	0	70	930	
t_25_post_15min.csv	0	0	0	0	928	72	0	76	924	
t_31_baseline.csv	0	0	0	0	912	88	0	86	914	
t_31_post_15min.csv	0	0	0	0	913	87	0	109	891	
t_31_post_24h.csv	0	0	0	0	870	130	0	71	929	
t_32_baseline.csv	0	0	0	0	913	87	0	111	889	
t_32_post_15min.csv	0	0	0	0	923	77	0	86	914	
t_32_post_24h.csv	0	0	0	0	936	64	0	76	924	
t_33_baseline.csv	0	0	0	0	923	77	0	85	915	
t_33_post_15min.csv	0	0	0	0	912	88	0	77	923	
t_33_post_24h.csv	0	0	0	0	923	77	0	65	935	
t_34_baseline.csv	0	0	0	0	907	93	0	83	917	
t_34_post_15min.csv	0	0	0	0	942	58	0	81	919	
t_34_post_24h.csv	0	0	0	0	922	78	0	78	922	
t_35_baseline.csv	0	0	0	0	901	99	0	105	895	
t_35_post_15min.csv	0	0	0	0	900	100	0	107	893	
t_35_post_24h.csv	0	0	0	0	905	95	0	143	857	
t_41_baseline.csv	0	0	0	0	917	83	0	125	875	
t_41_post_15min.csv	0	0	0	0	919	81	0	93	907	
t_41_post_24h.csv	0	0	0	0	886	114	0	122	878	
t_42_baseline.csv	0	0	0	0	896	104	0	102	898	
t_42_post_15min.csv	0	0	0	0	981	19	0	21	979	
