
PLIK test_ddlda6D.txt
Conf_matrix_of 	 !>!	!>other	!>tumour	other>!	other>other	other>tumour	tumour>!	tumour>other	tumour>tumour	
t_31_baseline.csv	0	0	0	0	864	136	0	64	936	
t_31_post_15min.csv	0	0	0	0	736	264	0	154	846	
t_31_post_24h.csv	0	0	0	0	836	164	0	127	873	
t_32_baseline.csv	0	0	0	0	904	96	0	134	866	
t_32_post_15min.csv	0	0	0	0	908	92	0	138	862	
t_32_post_24h.csv	0	0	0	0	891	109	0	97	903	
t_33_baseline.csv	0	0	0	0	926	74	0	179	821	
t_33_post_15min.csv	0	0	0	0	917	83	0	189	811	
t_33_post_24h.csv	0	0	0	0	916	84	0	74	926	
t_34_baseline.csv	0	0	0	0	895	105	0	98	902	
t_34_post_15min.csv	0	0	0	0	903	97	0	100	900	
t_34_post_24h.csv	0	0	0	0	939	61	0	104	896	
t_35_baseline.csv	0	0	0	0	854	146	0	206	794	
t_35_post_15min.csv	0	0	0	0	854	146	0	92	908	
t_35_post_24h.csv	0	0	0	0	863	137	0	153	847	
t_41_baseline.csv	0	0	0	0	855	145	0	102	898	
t_41_post_15min.csv	0	0	0	0	863	137	0	76	924	
t_41_post_24h.csv	0	0	0	0	869	131	0	154	846	
t_42_baseline.csv	0	0	0	0	812	188	0	142	858	
t_42_post_15min.csv	0	0	0	0	887	113	0	26	974	
t_42_post_24h.csv	0	0	0	0	847	153	0	93	907	
t_43_baseline.csv	0	0	0	0	796	204	0	82	918	
t_43_post_15min.csv	0	0	0	0	883	117	0	225	775	
t_43_post_24h.csv	0	0	0	0	864	136	0	154	846	
t_44_baseline.csv	0	0	0	0	935	65	0	229	771	
t_44_post_15min.csv	0	0	0	0	907	93	0	130	870	
t_44_post_24h.csv	0	0	0	0	903	97	0	122	878	
t_45_baseline.csv	0	0	0	0	897	103	0	81	919	
t_45_post_15min.csv	0	0	0	0	908	92	0	130	870	
t_45_post_24h.csv	0	0	0	0	905	95	0	225	775	
Confusion matrix of t_uczenie.csv
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
0	0	76	2424	2292	208	

PLIK test_ddlda7D.txt
Conf_matrix_of 	 !>!	!>other	!>tumour	other>!	other>other	other>tumour	tumour>!	tumour>other	tumour>tumour	
t_31_baseline.csv	0	0	0	0	877	123	0	72	928	
t_31_post_15min.csv	0	0	0	0	795	205	0	108	892	
t_31_post_24h.csv	0	0	0	0	849	151	0	127	873	
t_32_baseline.csv	0	0	0	0	906	94	0	142	858	
t_32_post_15min.csv	0	0	0	0	911	89	0	122	878	
t_32_post_24h.csv	0	0	0	0	897	103	0	104	896	
t_33_baseline.csv	0	0	0	0	938	62	0	153	847	
t_33_post_15min.csv	0	0	0	0	920	80	0	196	804	
t_33_post_24h.csv	0	0	0	0	918	82	0	80	920	
t_34_baseline.csv	0	0	0	0	884	116	0	90	910	
t_34_post_15min.csv	0	0	0	0	874	126	0	96	904	
t_34_post_24h.csv	0	0	0	0	938	62	0	101	899	
t_35_baseline.csv	0	0	0	0	857	143	0	155	845	
t_35_post_15min.csv	0	0	0	0	860	140	0	91	909	
t_35_post_24h.csv	0	0	0	0	862	138	0	154	846	
t_41_baseline.csv	0	0	0	0	862	138	0	86	914	
t_41_post_15min.csv	0	0	0	0	853	147	0	55	945	
t_41_post_24h.csv	0	0	0	0	865	135	0	143	857	
t_42_baseline.csv	0	0	0	0	794	206	0	102	898	
t_42_post_15min.csv	0	0	0	0	868	132	0	60	940	
t_42_post_24h.csv	0	0	0	0	860	140	0	105	895	
t_43_baseline.csv	0	0	0	0	808	192	0	76	924	
t_43_post_15min.csv	0	0	0	0	887	113	0	216	784	
t_43_post_24h.csv	0	0	0	0	869	131	0	156	844	
t_44_baseline.csv	0	0	0	0	928	72	0	184	816	
t_44_post_15min.csv	0	0	0	0	907	93	0	122	878	
t_44_post_24h.csv	0	0	0	0	897	103	0	137	863	
t_45_baseline.csv	0	0	0	0	891	109	0	85	915	
t_45_post_15min.csv	0	0	0	0	913	87	0	134	866	
t_45_post_24h.csv	0	0	0	0	914	86	0	213	787	
Confusion matrix of t_uczenie.csv
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
0	0	76	2424	2292	208	

PLIK test_ddlda8D.txt
Conf_matrix_of 	 !>!	!>other	!>tumour	other>!	other>other	other>tumour	tumour>!	tumour>other	tumour>tumour	
t_31_baseline.csv	0	0	0	0	867	133	0	68	932	
t_31_post_15min.csv	0	0	0	0	813	187	0	111	889	
t_31_post_24h.csv	0	0	0	0	842	158	0	111	889	
t_32_baseline.csv	0	0	0	0	906	94	0	153	847	
t_32_post_15min.csv	0	0	0	0	917	83	0	113	887	
t_32_post_24h.csv	0	0	0	0	892	108	0	101	899	
t_33_baseline.csv	0	0	0	0	938	62	0	141	859	
t_33_post_15min.csv	0	0	0	0	916	84	0	181	819	
t_33_post_24h.csv	0	0	0	0	912	88	0	64	936	
t_34_baseline.csv	0	0	0	0	901	99	0	91	909	
t_34_post_15min.csv	0	0	0	0	883	117	0	82	918	
t_34_post_24h.csv	0	0	0	0	935	65	0	84	916	
t_35_baseline.csv	0	0	0	0	864	136	0	149	851	
t_35_post_15min.csv	0	0	0	0	859	141	0	88	912	
t_35_post_24h.csv	0	0	0	0	888	112	0	148	852	
t_41_baseline.csv	0	0	0	0	862	138	0	98	902	
t_41_post_15min.csv	0	0	0	0	861	139	0	40	960	
t_41_post_24h.csv	0	0	0	0	869	131	0	131	869	
t_42_baseline.csv	0	0	0	0	803	197	0	118	882	
t_42_post_15min.csv	0	0	0	0	874	126	0	24	976	
t_42_post_24h.csv	0	0	0	0	870	130	0	123	877	
t_43_baseline.csv	0	0	0	0	815	185	0	67	933	
t_43_post_15min.csv	0	0	0	0	883	117	0	211	789	
t_43_post_24h.csv	0	0	0	0	875	125	0	141	859	
t_44_baseline.csv	0	0	0	0	932	68	0	191	809	
t_44_post_15min.csv	0	0	0	0	921	79	0	110	890	
t_44_post_24h.csv	0	0	0	0	900	100	0	125	875	
t_45_baseline.csv	0	0	0	0	904	96	0	100	900	
t_45_post_15min.csv	0	0	0	0	918	82	0	115	885	
t_45_post_24h.csv	0	0	0	0	917	83	0	179	821	
Confusion matrix of t_uczenie.csv
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
0	0	76	2424	2292	208	

PLIK test_ddsvm400D.txt
Conf_matrix_of 	 !>!	!>other	!>tumour	other>!	other>other	other>tumour	tumour>!	tumour>other	tumour>tumour	
t_31_baseline.csv	0	0	0	0	960	40	0	31	969	
t_31_post_15min.csv	0	0	0	0	946	54	0	95	905	
t_31_post_24h.csv	0	0	0	0	929	71	0	57	943	
t_32_baseline.csv	0	0	0	0	975	25	0	146	854	
t_32_post_15min.csv	0	0	0	0	977	23	0	68	932	
t_32_post_24h.csv	0	0	0	0	962	38	0	53	947	
t_33_baseline.csv	0	0	0	0	972	28	0	97	903	
t_33_post_15min.csv	0	0	0	0	964	36	0	78	922	
t_33_post_24h.csv	0	0	0	0	960	40	0	45	955	
t_34_baseline.csv	0	0	0	0	950	50	0	32	968	
t_34_post_15min.csv	0	0	0	0	951	49	0	38	962	
t_34_post_24h.csv	0	0	0	0	968	32	0	40	960	
t_35_baseline.csv	0	0	0	0	949	51	0	122	878	
t_35_post_15min.csv	0	0	0	0	937	63	0	16	984	
t_35_post_24h.csv	0	0	0	0	941	59	0	46	954	
t_41_baseline.csv	0	0	0	0	959	41	0	90	910	
t_41_post_15min.csv	0	0	0	0	953	47	0	48	952	
t_41_post_24h.csv	0	0	0	0	955	45	0	71	929	
t_42_baseline.csv	0	0	0	0	971	29	0	70	930	
t_42_post_15min.csv	0	0	0	0	988	12	0	429	571	
t_42_post_24h.csv	0	0	0	0	992	8	0	104	896	
t_43_baseline.csv	0	0	0	0	942	58	0	31	969	
t_43_post_15min.csv	0	0	0	0	963	37	0	108	892	
t_43_post_24h.csv	0	0	0	0	963	37	0	61	939	
t_44_baseline.csv	0	0	0	0	956	44	0	48	952	
t_44_post_15min.csv	0	0	0	0	955	45	0	26	974	
t_44_post_24h.csv	0	0	0	0	969	31	0	34	966	
t_45_baseline.csv	0	0	0	0	966	34	0	48	952	
t_45_post_15min.csv	0	0	0	0	970	30	0	49	951	
t_45_post_24h.csv	0	0	0	0	969	31	0	204	796	


PLIK test_ddvsch4D.txt
W pliku są błędne nagłówki
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>tumour	other>!	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>tumour	other>!	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>tumour	other>!	
!>!	!>tumour	tumour>!	tumour>tumour	other>tumour	other>!	
!>!	!>tumour	tumour>!	tumour>tumour	other>tumour	other>!	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	\n\n
Conf_matrix_of 	 !>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
t_31_baseline.csv	0	0	39	961	942	58	
t_31_post_15min.csv	0	0	158	842	906	94	
t_31_post_24h.csv	0	0	162	838	888	112	
t_32_baseline.csv	0	0	160	840	935	65	
t_32_post_15min.csv	0	0	85	915	891	109	
t_32_post_24h.csv	0	0	47	953	108	892	
t_33_baseline.csv	0	0	109	891	929	71	
t_33_post_15min.csv	0	0	126	874	913	87	
t_33_post_24h.csv	0	0	32	968	881	119	
t_34_baseline.csv	0	0	42	958	887	113	
t_34_post_15min.csv	0	0	92	908	145	855	
t_34_post_24h.csv	0	0	49	951	907	93	
t_35_baseline.csv	0	0	108	892	905	95	
t_35_post_15min.csv	0	0	289	711	894	106	
t_35_post_24h.csv	0	0	13	987	860	140	
t_41_baseline.csv	0	0	50	950	917	83	
t_41_post_15min.csv	0	0	20	980	121	879	
t_41_post_24h.csv	0	0	186	814	98	902	
t_42_baseline.csv	0	0	66	934	44	956	
t_42_post_15min.csv	0	0	260	740	964	36	
t_42_post_24h.csv	0	0	412	588	956	44	
t_43_baseline.csv	0	0	77	923	881	119	
t_43_post_15min.csv	0	0	64	936	892	108	
t_43_post_24h.csv	0	0	41	959	910	90	
t_44_baseline.csv	0	0	145	855	926	74	
t_44_post_15min.csv	0	0	28	972	873	127	
t_44_post_24h.csv	0	0	34	966	867	133	
t_45_baseline.csv	0	0	47	953	927	73	
t_45_post_15min.csv	0	0	47	953	909	91	
t_45_post_24h.csv	0	0	433	567	938	62	
Confusion matrix of t_uczenie.csv
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
0	0	76	2424	2292	208	

PLIK test_ddvsch5D.txt
W pliku są błędne nagłówki
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
