
PLIK test_oolda6D.txt
Conf_matrix_of 	 !>!	!>other	!>tumour	other>!	other>other	other>tumour	tumour>!	tumour>other	tumour>tumour	
t_21_baseline.csv	0	0	0	0	840	160	0	345	655	
t_21_post_15min.csv	0	0	0	0	967	33	0	727	273	
t_22_baseline.csv	0	0	0	0	893	107	0	486	514	
t_22_post_15min.csv	0	0	0	0	845	155	0	48	952	
t_23_baseline.csv	0	0	0	0	794	206	0	134	866	
t_23_post_15min.csv	0	0	0	0	862	138	0	270	730	
t_24_baseline.csv	0	0	0	0	833	167	0	134	866	
t_24_post_15min.csv	0	0	0	0	872	128	0	127	873	
t_25_baseline.csv	0	0	0	0	897	103	0	328	672	
t_25_post_15min.csv	0	0	0	0	848	152	0	483	517	
t_31_baseline.csv	0	0	0	0	853	147	0	72	928	
t_31_post_15min.csv	0	0	0	0	826	174	0	113	887	
t_31_post_24h.csv	0	0	0	0	849	151	0	153	847	
t_32_baseline.csv	0	0	0	0	884	116	0	152	848	
t_32_post_15min.csv	0	0	0	0	906	94	0	133	867	
t_32_post_24h.csv	0	0	0	0	867	133	0	89	911	
t_33_baseline.csv	0	0	0	0	903	97	0	145	855	
t_33_post_15min.csv	0	0	0	0	888	112	0	135	865	
t_33_post_24h.csv	0	0	0	0	901	99	0	116	884	
t_34_baseline.csv	0	0	0	0	856	144	0	68	932	
t_34_post_15min.csv	0	0	0	0	882	118	0	111	889	
t_34_post_24h.csv	0	0	0	0	922	78	0	109	891	
t_35_baseline.csv	0	0	0	0	841	159	0	91	909	
t_35_post_15min.csv	0	0	0	0	826	174	0	55	945	
t_35_post_24h.csv	0	0	0	0	874	126	0	147	853	
t_41_baseline.csv	0	0	0	0	850	150	0	52	948	
t_41_post_15min.csv	0	0	0	0	832	168	0	26	974	
t_41_post_24h.csv	0	0	0	0	849	151	0	112	888	
t_42_baseline.csv	0	0	0	0	790	210	0	91	909	
t_42_post_15min.csv	0	0	0	0	852	148	0	20	980	
t_42_post_24h.csv	0	0	0	0	850	150	0	102	898	
t_43_baseline.csv	0	0	0	0	789	211	0	65	935	
t_43_post_15min.csv	0	0	0	0	824	176	0	172	828	
t_43_post_24h.csv	0	0	0	0	863	137	0	154	846	
t_44_baseline.csv	0	0	0	0	915	85	0	143	857	
t_44_post_15min.csv	0	0	0	0	874	126	0	137	863	
t_44_post_24h.csv	0	0	0	0	912	88	0	122	878	
t_45_baseline.csv	0	0	0	0	878	122	0	82	918	
t_45_post_15min.csv	0	0	0	0	873	127	0	120	880	
t_45_post_24h.csv	0	0	0	0	911	89	0	237	763	
Confusion matrix of t_uczenie.csv
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
0	0	111	2389	2287	213	

PLIK test_oolda7D.txt
Conf_matrix_of 	 !>!	!>other	!>tumour	other>!	other>other	other>tumour	tumour>!	tumour>other	tumour>tumour	
t_21_baseline.csv	0	0	0	0	832	168	0	222	778	
t_21_post_15min.csv	0	0	0	0	964	36	0	758	242	
t_22_baseline.csv	0	0	0	0	909	91	0	370	630	
t_22_post_15min.csv	0	0	0	0	845	155	0	37	963	
t_23_baseline.csv	0	0	0	0	802	198	0	126	874	
t_23_post_15min.csv	0	0	0	0	873	127	0	300	700	
t_24_baseline.csv	0	0	0	0	843	157	0	117	883	
t_24_post_15min.csv	0	0	0	0	858	142	0	158	842	
t_25_baseline.csv	0	0	0	0	891	109	0	315	685	
t_25_post_15min.csv	0	0	0	0	866	134	0	430	570	
t_31_baseline.csv	0	0	0	0	847	153	0	54	946	
t_31_post_15min.csv	0	0	0	0	799	201	0	117	883	
t_31_post_24h.csv	0	0	0	0	845	155	0	99	901	
t_32_baseline.csv	0	0	0	0	895	105	0	137	863	
t_32_post_15min.csv	0	0	0	0	908	92	0	157	843	
t_32_post_24h.csv	0	0	0	0	870	130	0	97	903	
t_33_baseline.csv	0	0	0	0	907	93	0	153	847	
t_33_post_15min.csv	0	0	0	0	884	116	0	139	861	
t_33_post_24h.csv	0	0	0	0	912	88	0	99	901	
t_34_baseline.csv	0	0	0	0	855	145	0	68	932	
t_34_post_15min.csv	0	0	0	0	888	112	0	72	928	
t_34_post_24h.csv	0	0	0	0	926	74	0	89	911	
t_35_baseline.csv	0	0	0	0	834	166	0	78	922	
t_35_post_15min.csv	0	0	0	0	844	156	0	72	928	
t_35_post_24h.csv	0	0	0	0	880	120	0	144	856	
t_41_baseline.csv	0	0	0	0	847	153	0	44	956	
t_41_post_15min.csv	0	0	0	0	831	169	0	28	972	
t_41_post_24h.csv	0	0	0	0	859	141	0	110	890	
t_42_baseline.csv	0	0	0	0	788	212	0	100	900	
t_42_post_15min.csv	0	0	0	0	848	152	0	15	985	
t_42_post_24h.csv	0	0	0	0	864	136	0	112	888	
t_43_baseline.csv	0	0	0	0	800	200	0	65	935	
t_43_post_15min.csv	0	0	0	0	827	173	0	161	839	
t_43_post_24h.csv	0	0	0	0	843	157	0	166	834	
t_44_baseline.csv	0	0	0	0	916	84	0	157	843	
t_44_post_15min.csv	0	0	0	0	878	122	0	133	867	
t_44_post_24h.csv	0	0	0	0	902	98	0	153	847	
t_45_baseline.csv	0	0	0	0	882	118	0	69	931	
t_45_post_15min.csv	0	0	0	0	881	119	0	120	880	
t_45_post_24h.csv	0	0	0	0	922	78	0	224	776	
Confusion matrix of t_uczenie.csv
!>!	!>tumour	tumour>!	tumour>tumour	other>!	other>tumour	
0	0	111	2389	2287	213	

PLIK test_oolda8D.txt
Conf_matrix_of 	 !>!	!>other	!>tumour	other>!	other>other	other>tumour	tumour>!	tumour>other	tumour>tumour	
